_id,Date,Rain,Temp Max,Temp Min
206,25-07-1951,,29.56999969,23.70999908
207,26-07-1951,,28.72999954,23.04000092
208,27-07-1951,,26.95999908,23.03000069
209,28-07-1951,,27.98999977,23.37000084
210,29-07-1951,,27.95000076,23.62999916
211,30-07-1951,,28.5,23.87999916
212,31-07-1951,,28.34000015,23.98999977
213,01-08-1951,,27.79999924,24.25
214,02-08-1951,,27.92000008,24.12000084
215,03-08-1951,,28.11000061,23.95999908
216,04-08-1951,,28.36000061,23.87999916
217,05-08-1951,,29.14999962,23.87999916
218,06-08-1951,,27.95000076,23.5
219,07-08-1951,,27.65999985,23.54999924
220,08-08-1951,,26.27000046,23.38999939
221,09-08-1951,,25.87000084,23.43000031
222,10-08-1951,,27.45999908,22.73999977
223,11-08-1951,,28.85000038,23.04999924
224,12-08-1951,,28.67000008,23.56999969
225,13-08-1951,,29.12000084,23.62999916
226,14-08-1951,,27.94000053,23.32999992
227,15-08-1951,,29,23.26000023
228,16-08-1951,,28.59000015,23.60000038
229,17-08-1951,,29.06999969,23.98999977
230,18-08-1951,,28.43000031,23.29000092
231,19-08-1951,,29.05999947,23.17000008
232,20-08-1951,,29.87000084,23.32999992
233,21-08-1951,,29.62999916,23.38999939
234,22-08-1951,,29.43000031,23.69000053
235,23-08-1951,,28.86000061,24.15999985
236,24-08-1951,,28.82999992,24.31999969
237,25-08-1951,,29.21999931,23.93000031
238,26-08-1951,,29.20000076,23.62999916
239,27-08-1951,,29.84000015,22.95000076
240,28-08-1951,,29.72999954,22.95999908
241,29-08-1951,,29.89999962,22.75
242,30-08-1951,,30.39999962,22.18000031
243,31-08-1951,,29.80999947,21.69000053
244,01-09-1951,,30.53000069,22.07999992
245,02-09-1951,,30.11000061,21.84000015
246,03-09-1951,,30.28000069,22.96999931
247,04-09-1951,,30.60000038,23.55999947
248,05-09-1951,,30.53000069,23.56999969
249,06-09-1951,,30.70000076,23.70000076
250,07-09-1951,,30.04999924,23.06999969
251,08-09-1951,,30.10000038,23.97999954
252,09-09-1951,,31.23999977,23.65999985
253,10-09-1951,,30.85000038,23.12999916
254,11-09-1951,,30.45000076,22.73999977
255,12-09-1951,,30.14999962,22.20000076
256,13-09-1951,,30.20999908,22.15999985
257,14-09-1951,,30.57999992,22.51000023
258,15-09-1951,,30.71999931,23.09000015
259,16-09-1951,,31.62999916,22.05999947
260,17-09-1951,,31.40999985,22.81999969
261,18-09-1951,,32.13000107,22.54000092
262,19-09-1951,,31.79000092,23.21999931
263,20-09-1951,,31.60000038,22.62999916
264,21-09-1951,,32.25999832,23.64999962
265,22-09-1951,,32.81000137,23.88999939
266,23-09-1951,,32.74000168,23.87999916
267,24-09-1951,,34.15000153,24.40999985
268,25-09-1951,,34.58000183,24.86000061
269,26-09-1951,,35.22999954,24.94000053
270,27-09-1951,,34.36999893,24.03000069
271,28-09-1951,,34.72999954,24.32999992
272,29-09-1951,,35.02999878,23.63999939
273,30-09-1951,,35.43000031,23.94000053
274,01-10-1951,,34.58000183,23.89999962
275,02-10-1951,,31.85000038,23.51000023
276,03-10-1951,,31.20000076,23.62999916
277,04-10-1951,,32.56999969,23.78000069
278,05-10-1951,,33.70000076,24.45999908
279,06-10-1951,,32.95000076,23.38999939
280,07-10-1951,,33.06999969,22.53000069
281,08-10-1951,,33.13999939,22.48999977
282,09-10-1951,,33.25999832,23.21999931
283,10-10-1951,,33.54999924,22.75
284,11-10-1951,,34.45000076,22.29999924
285,12-10-1951,,34.88999939,22.79999924
286,13-10-1951,,35.00999832,23.21999931
287,14-10-1951,,35.11999893,23.93000031
288,15-10-1951,,33.27999878,23.60000038
289,16-10-1951,,28.70999908,22.35000038
290,17-10-1951,,29.15999985,22.78000069
291,18-10-1951,,31.17000008,23.30999947
292,19-10-1951,,31.21999931,22.45000076
